Time,ModBitCount,CipherBitCount
78020,77,17
82560,74,34
82620,88,9
103040,94,26
114800,92,26
95100,82,9
88340,62,17
90420,79,17
92840,80,17
106100,77,17
89120,87,17
105700,74,17
105780,94,9
93620,76,9
92080,68,9
97760,84,17
101500,81,9
91940,79,9
90700,84,26
106980,82,17
134360,76,9
128600,87,9
89060,88,9
92720,78,17
89240,81,17
88380,84,17
110280,76,26
113200,89,17
103140,79,26
104420,81,9
96840,87,17
91900,76,9
125560,76,39
95080,86,34
96940,84,26
111160,78,9
109060,87,39
118380,79,26
97460,84,26
99260,77,26
89840,87,9
98880,80,17
85900,79,17
121160,79,17
100220,73,17
96160,78,9
104600,79,9
101960,86,17
88100,76,34
117220,84,17
97620,83,34
110800,89,26
108660,91,17
126940,104,17
94840,78,17
111640,83,17
90520,77,17
93120,58,17
102380,91,34
97440,68,17
128480,96,26
105480,86,34
99560,82,34
96100,79,17
98780,97,26
99320,90,17
111960,85,9
98220,92,17
102280,86,17
92080,94,17
97720,83,26
93360,86,34
110760,82,9
98020,91,9
103840,90,17
99320,91,26
107920,79,17
120580,78,26
99180,84,17
94080,83,17
98440,80,9
95680,78,26
108420,76,9
112020,78,9
106660,78,26
94060,90,17
99280,88,9
101320,96,34
92300,76,17
109440,79,26
103240,89,26
101960,86,9
94720,83,17
101300,85,17
107140,88,9
97500,94,9
102600,89,26
98320,84,17
97740,88,26
108360,78,9
118900,80,17
106060,84,17
104680,91,9
105780,82,17
91740,82,34
135300,92,17
108180,82,26
116720,93,9
99040,83,17
91180,94,17
102700,86,9
114980,82,17
95880,80,26
95820,90,17
111760,92,9
99200,87,17
96480,79,9
118460,94,17
100060,85,26
99700,85,26
96280,81,17
100580,80,17
111300,89,17
96040,94,9
103300,103,17
97620,94,17
100540,85,17
101080,95,9
106080,89,17
102100,84,17
111880,73,26
111200,79,26
106960,88,26
149280,93,17
125400,90,9
98580,88,17
102780,86,51
119440,89,34
115100,86,9
121580,83,17
104600,82,26
99100,80,26
99720,86,17
98160,87,26
109380,95,17
116760,79,17
102340,90,26
102520,92,26
108920,100,26
117920,94,9
106060,87,17
101780,86,17
98280,92,17
126900,89,17
98560,82,17
122520,86,9
101500,93,17
101720,93,17
103900,96,26
98840,84,9
168980,95,9
107560,85,26
105360,96,26
101160,92,26
100560,87,34
123540,99,17
106040,84,34
95100,87,9
111420,75,9
101700,95,17
100840,97,17
118960,92,17
99820,86,34
100700,97,34
98640,81,9
118760,95,17
156260,97,34
99860,92,34
103880,88,17
103300,80,34
107040,103,17
107360,81,9
108060,92,34
95840,81,26
116220,88,17
104800,83,17
104420,77,17
115860,87,17
100440,90,9
104880,92,26
124560,83,9
152860,98,26
118380,76,9
107240,92,26
96520,81,26
99780,89,17
